k,resnet50_1000 (0.252),resnet50_2000 (0.253),densenet161_128 (0.248)
0,0.0,0.0,0.0
1,0.14437718539684927,0.14588111441139978,0.14550513215776215
2,0.18528405459262323,0.18699477384667443,0.18393051847952777
3,0.20491032823250743,0.20702209522377213,0.20277976212856083
4,0.2164059856374779,0.21834856061460567,0.21393703550525744
5,0.22418129864270406,0.22601107894374053,0.2215920341893196
6,0.22963930769134366,0.2311808349312579,0.22688085122382226
7,0.23361934840485055,0.23498362686804994,0.23082866488701734
8,0.2364956126451784,0.2379679860062986,0.233733127796368
9,0.23894367487441892,0.2404494688803069,0.23613523663905284
10,0.24086870401304358,0.24240081677668623,0.23797003003680448
11,0.24246491958075972,0.24420211357365923,0.23945345092842926
12,0.24375265879946856,0.24544912138155733,0.24076625563071405
13,0.24486903687565417,0.2465712838001066,0.24189420239162693
14,0.2458304772099561,0.2474763267963629,0.24275896157499346
15,0.24665262507124366,0.24830599430272327,0.24349839334048082
16,0.24727299578974574,0.24908615747902135,0.24426445718226747
17,0.24789668399872114,0.24975850221493806,0.24490805033408244
18,0.2484564797985816,0.25030576527301057,0.2454051824250033
19,0.24895317214417662,0.250796521056706,0.24586625539920104
20,0.2493930713809326,0.2512401801159984,0.24630427472468885
21,0.24975652089278233,0.2516501798116318,0.24665698188643467
22,0.25013933918739517,0.25197489175795523,0.24702954611958464
23,0.25043522087395353,0.2523083716698773,0.2473286972170442
24,0.2507328734914166,0.2526075908800639,0.24759971775820797
25,0.25099305321093385,0.2528767941736685,0.24785538569068158
26,0.25126202513084384,0.2530806922419873,0.24810411241231875
27,0.2514611564725852,0.25333134707774574,0.24834084197942394
28,0.25168943141229383,0.25352605217337953,0.24856777412536948
29,0.2518553822001063,0.2537166362812579,0.24873372491318196
30,0.25203836023021,0.2538883348437524,0.2489016636531401
31,0.25220088159145976,0.25402538643943323,0.24906539786036938
32,0.2523512744929148,0.2541358312264393,0.24922166548453753
33,0.25249597069355717,0.25428166676724423,0.24935155026306688
34,0.25263641112359236,0.25438782646238894,0.24948203822168236
35,0.25277069049989154,0.25450276960850104,0.24961954030301262
36,0.2528803519905359,0.25460303154280434,0.24974591211604086
37,0.25300127601265177,0.25469753519034033,0.24984244810008294
38,0.25310318699192724,0.25479944616961575,0.2499404013714254
39,0.25319284429856387,0.2548968159327373,0.25005705227575903
40,0.2532971793739483,0.2549917514517808,0.25014540810536395
41,0.2533806290936581,0.2550972098887767,0.25023160891473456
42,0.25345493034854366,0.2551670351644523,0.25030859575714604
43,0.25353187555393925,0.2552256184458331,0.2503802946985374
44,0.2535899819022287,0.2552931243504635,0.25046147268511826
45,0.25365849422400266,0.25536664976895257,0.250533327071369
46,0.253714074209323,0.2554385768087789,0.2505954458784917
47,0.25378207099987454,0.25551137337278107,0.2506474434242076
48,0.2538470845978994,0.25557012059991197,0.25072028998584983
49,0.25390540021274927,0.25562536697187505,0.25078397677575176
50,0.25395352594121495,0.2556832682389352,0.25083435839773915
51,0.2540088174491028,0.2557341364261921,0.2508830149246805
52,0.25405147697403474,0.2557789650795104,0.2509307357491807
53,0.254106100810884,0.25582365730965984,0.2509796843822014
54,0.25414926914370906,0.2558828397014361,0.25102842282248783
55,0.25418550016087776,0.2559347936128478,0.25106533744375403
56,0.254223769783123,0.2559750774257376,0.25109756449406584
57,0.2542666449523975,0.25600937756115716,0.2511351627194296
58,0.25430489142302615,0.2560424380696667,0.25117081620899867
59,0.2543431269064469,0.2560838598433725,0.25120395362796333
60,0.2543750853980061,0.2561195781574681,0.25123403220825435
61,0.25441145089466943,0.2561577927471821,0.25126731588316653
62,0.2544454105820948,0.25618811389666896,0.25130188199358167
63,0.25447942802409057,0.25621616336638475,0.25133530263834947
64,0.2545099765821986,0.2562408372017797,0.25136173889055835
65,0.2545400551624896,0.25627496482172535,0.2513860331284856
66,0.2545673993263905,0.2563023089856262,0.25141565597271165
67,0.2546005082114124,0.25633092853030615,0.2514409085121351
68,0.2546320243709085,0.25636355051995996,0.251464130945448
69,0.25466853279263846,0.25638262208355034,0.2514859270181226
70,0.2546943144328879,0.25640732948878936,0.2515095601883513
