k,resnet50_1000 (0.682),resnet50_2000 (0.687),densenet161_128 (0.668)
0,0.0,0.0,0.0
1,0.14437718539684927,0.14588111441139978,0.14550513215776215
2,0.2261909237883972,0.2281084332819491,0.22235590480129339
3,0.2850697447080498,0.2881903974132421,0.27890363574839266
4,0.3310523743279317,0.3334962589765763,0.3235327292551792
5,0.3699289393540625,0.3718088506222506,0.3618077226754897
6,0.4026769936458999,0.40282738654735495,0.3935406248825055
7,0.43053727864044816,0.42944693010489904,0.4211753205248712
8,0.45354739256307103,0.45332180321088844,0.4444110237996767
9,0.47557995262623604,0.47565514907696355,0.46603000338384026
10,0.4948302440124826,0.49516862804075645,0.48437793736135654
11,0.5123886152573599,0.5149828928074595,0.5006955671692296
12,0.5278414858818664,0.5299469865022371,0.5164492235966462
13,0.5423544008722788,0.5445350979433771,0.5311125314885138
14,0.555814565552506,0.5572056998909651,0.5432191600556454
15,0.5681467834718201,0.5696507124863707,0.5543106365379554
16,0.5780727149678535,0.5821333233071398,0.5665676580065421
17,0.5886754145204346,0.5935631838177238,0.5775087415873971
18,0.5987517389179231,0.6034139188630296,0.5864571192239726
19,0.6081888934842276,0.6127382787532428,0.5952175057337293
20,0.6169868782193481,0.6216114599390908,0.6039778922434861
21,0.6246193179681919,0.6302214535473926,0.6113847426401474
22,0.6330413204496748,0.6373651163665075,0.6195811557694477
23,0.6398465992405159,0.6450351543407151,0.6264616310110163
24,0.6469902620596308,0.6522164153851938,0.6329661239989472
25,0.6534947550475617,0.6589464977253073,0.639357822310787
26,0.6604880249652216,0.6642478475015979,0.6458247170733541
27,0.6658645711922397,0.6710155280670752,0.6522164153851938
28,0.6722562695040795,0.6764672707448208,0.6585705154716698
29,0.677068842350641,0.681994209873294,0.6633830883182313
30,0.6825581832537504,0.6871451667481295,0.6684212505169757
31,0.6875963454524946,0.6913937662142347,0.6734970109410836
32,0.6924089182990563,0.6949279993984284,0.678497574914464
33,0.6971838929202542,0.6997405722449901,0.682783772605933
34,0.7019588675414521,0.7033500018799113,0.687220363198857
35,0.7066586457119224,0.7073730119938338,0.6920329360454186
36,0.7106064593751175,0.7109824416287551,0.696582321314434
37,0.7150806481934052,0.714479076587585,0.7001541527239914
38,0.7189532654058728,0.7183516938000526,0.7038763770350039
39,0.7224499003647028,0.7221491145617926,0.7084257623040192
40,0.7266233033800804,0.7259465353235327,0.711959995488213
41,0.7300447418881829,0.7302703312403654,0.7154942286724066
42,0.7331653945933752,0.7332029928187389,0.7187276760536903
43,0.7364740384253863,0.7357220739181111,0.7218107305335189
44,0.7390307177501222,0.7386923337218483,0.7253825619430763
45,0.7421137722299508,0.7420009775538594,0.7286160093243599
46,0.7446704515546866,0.7453096213858705,0.7314734744520058
47,0.7478663007106064,0.748731059893973,0.7339173591006505
48,0.7509869534157988,0.7515509267962552,0.7374139940594804
49,0.7538444185434447,0.7542579990224462,0.7405346467646727
50,0.7562507049667255,0.7571530623754559,0.7430537278640448
51,0.7590705718690078,0.7597473399255555,0.7455352107380532
52,0.7612888671654698,0.7620784298981088,0.7480166936120615
53,0.7641839305184795,0.7644471180960258,0.7506109711621611
54,0.7665150204910328,0.7676429672519457,0.7532428469376246
55,0.7685077264353123,0.7705004323795916,0.7552731511072678
56,0.7706508252810468,0.7727563259014174,0.7570778659247284
57,0.7730947099296913,0.7747114336203331,0.7592209647704629
58,0.7753130052261533,0.776628943113885,0.7612888671654698
59,0.7775688987479791,0.7790728277625296,0.7632439748843854
60,0.779486408241531,0.7812159266082641,0.765048689701846
61,0.781704703537993,0.7835470165808174,0.7670789938714893
62,0.7838102041583638,0.7854269278490055,0.7692220927172237
63,0.7859533030040982,0.7871940444411024,0.7713275933375945
64,0.7879084107230139,0.7887731699063805,0.7730195134789638
65,0.7898635184419296,0.7909914652028425,0.7745986389442419
66,0.7916682332593902,0.792796180020303,0.7765537466631575
67,0.7938865285558522,0.7947136895138549,0.7782456668045268
68,0.7960296274015867,0.7969319848103169,0.7798247922698048
69,0.7985487085009587,0.7982479226980487,0.7813287212843554
70,0.8003534233184194,0.7999774410647817,0.7829830432003609
